Player_Id,Bowling_Skill,Overs,Wickets,Runs,Economy,Average,Maidens,4W,Best Figure
456,Left-arm medium,8,3,91,11.375,30.33333333333333,0,0,51-2
457,Right-arm fast-medium,10,3,66,6.6,22.0,1,0,6-2
458,Left-arm fast-medium,34,11,278,8.176470588235292,25.272727272727273,0,0,19-3
459,Right-arm fast-medium,8,1,86,10.75,86.0,0,0,37-1
460,Left-arm fast-medium,62,19,427,6.887096774193548,22.47368421052632,1,0,9-3
461,Right-arm fast,4,1,44,11.0,44.0,0,0,44-1
462,Slow left-arm chinaman,12,7,102,8.5,14.571428571428573,0,0,29-3
463,Slow left-arm chinaman,16,3,151,9.4375,50.33333333333334,0,0,23-1
464,Right-arm fast-medium,7,3,56,8.0,18.666666666666668,0,0,31-3
465,Right-arm medium,5,0,42,8.4,0.0,0,0,0-0
